time_stamp,value,flag
1569161998684,0,11
1569161999938,1,11
1569162002655,1,11
1569162003569,1,11
1569162005002,1,11
1569162006529,1,11
1569162007580,1,11
1569162008607,1,11
1569162009912,1,11
1569162010923,1,11
1569162012013,1,11
1569162013152,1,11
1569162014047,1,11
1569162015124,1,11
1569162016189,1,11
1569162017416,1,11
1569162018330,1,11
1569162019545,1,11
1569162020944,1,11
1569162022067,1,11
1569162022951,1,11
1569162024069,1,11
1569162025374,1,11
1569162026126,1,11
1569162027065,1,11
1569162027948,1,11
1569162028753,1,11
1569162029512,1,11
1569162030429,1,11
1569162031209,1,11
1569162032039,1,11
1569162032856,1,11
1569162033693,1,11
1569162034477,1,11
1569162035211,1,11
1569162036089,1,11
1569162036986,1,11
1569162037734,1,11
1569162038745,1,11
1569162039584,1,11
1569162040513,1,11
1569162041311,1,11
1569162042146,1,11
1569162042960,1,11
1569162043608,1,11
1569162044351,1,11
1569162045608,1,11
1569162046266,1,11
1569162046949,1,11
1569162047874,1,11
1569162048646,1,11
1569162049395,1,11
1569162050154,1,11
1569162050849,1,11
1569162051481,1,11
1569162052304,1,11
1569162052963,1,11
1569162054113,1,11
1569162055591,1,11
1569162056286,1,11
1569162065691,0,12
1569162067183,0,12
1569162072006,1,12
1569162076927,1,12
1569162079933,1,12
1569162082408,1,12
1569162084509,1,12
1569162086003,1,12
1569162087394,1,12
1569162089350,1,12
1569162093187,1,12
1569162094211,1,12
1569162095347,1,12
1569162096611,1,12
1569162098028,1,12
1569162099104,1,12
1569162100382,1,12
1569162103465,1,12
1569162105020,1,12
1569162106308,1,12
1569162108099,1,12
1569162110750,1,12
1569162114536,1,12
1569162115788,1,12
1569162119701,1,12
1569162121620,-1,12
1569162123865,1,12
1569162125115,1,12
1569162126181,1,12
1569162127580,1,12
1569162128745,-1,12
1569162129982,1,12
1569162132164,1,12
1569162132873,1,12
1569162133734,1,12
1569162134957,1,12
1569162136568,1,12
1569162137777,1,12
1569162139240,1,12
1569162140571,1,12
1569162142109,1,12
1569162143274,1,12
1569162144147,1,12
1569162145437,1,12
1569162146323,1,12
1569162147346,1,12
1569162148230,1,12
1569162150705,1,12
1569162151844,1,12
1569162153182,1,12
1569162154067,1,12
1569162154812,1,12
1569162155760,1,12
1569162156508,1,12
1569162157531,1,12
1569162158192,1,12
1569162158952,1,12
1569162159939,1,12
1569162160570,1,12
1569162161391,1,12
1569162172731,0,13
1569162173496,0,13
1569162174574,0,13
1569162175614,1,13
1569162176941,-1,13
1569162178681,1,13
1569162180250,-1,13
1569162182133,1,13
1569162183345,1,13
1569162184750,1,13
1569162185684,1,13
1569162186445,-1,13
1569162191634,1,13
1569162193167,1,13
1569162194205,1,13
1569162199167,1,13
1569162200884,1,13
1569162202031,1,13
1569162203557,1,13
1569162204705,1,13
1569162206083,-1,13
1569162207118,-1,13
1569162207635,1,13
1569162208196,1,13
1569162212298,1,13
1569162213347,-1,13
1569162216200,1,13
1569162217338,1,13
1569162218289,-1,13
1569162219171,1,13
1569162220956,-1,13
1569162222235,1,13
