time_stamp,red
1569813107310,24572.0
1569813107320,31875.0
1569813107330,31856.0
1569813107340,31840.0
1569813107352,31830.0
1569813107361,31823.0
1569813107371,31823.0
1569813107381,31822.0
1569813107391,31817.0
1569813107401,31811.0
1569813107410,31815.0
1569813107421,31810.0
1569813107430,31806.0
1569813107440,31813.0
1569813107450,31808.0
1569813107460,31806.0
1569813107471,31806.0
1569813107481,31801.0
1569813107491,31806.0
1569813107501,31795.0
1569813107510,31783.0
1569813107521,31769.0
1569813107531,31758.0
1569813107541,31737.0
1569813107551,31721.0
1569813107560,31701.0
1569813107571,31684.0
1569813107580,31676.0
1569813107591,31670.0
1569813107601,31645.0
1569813107610,31646.0
1569813107621,31641.0
1569813107631,31631.0
1569813107641,31631.0
1569813107652,31632.0
1569813107664,31630.0
1569813107672,31632.0
1569813107681,31632.0
1569813107691,31632.0
1569813107702,31640.0
1569813107711,31640.0
1569813107721,31648.0
1569813107731,31656.0
1569813107742,31668.0
1569813107752,31674.0
1569813107761,31671.0
1569813107772,31676.0
1569813107783,31692.0
1569813107792,31694.0
1569813107801,31699.0
1569813107811,31698.0
1569813107821,31688.0
1569813107831,31680.0
1569813107841,31686.0
1569813107850,31694.0
1569813107861,31703.0
1569813107871,31694.0
1569813107880,31707.0
1569813107894,31712.0
1569813107900,31719.0
1569813107911,31726.0
1569813107921,31721.0
1569813107931,31735.0
1569813107941,31741.0
1569813107951,31754.0
1569813107961,31757.0
1569813107971,31757.0
1569813107981,31771.0
1569813107990,31775.0
1569813108002,31788.0
1569813108012,31795.0
1569813108023,31788.0
1569813108032,31806.0
1569813108042,31813.0
1569813108053,31805.0
1569813108063,31813.0
1569813108073,31820.0
1569813108085,31824.0
1569813108092,31819.0
1569813108100,31822.0
1569813108111,31820.0
1569813108120,31813.0
1569813108131,31796.0
1569813108142,31780.0
1569813108151,31760.0
1569813108162,31737.0
1569813108172,31726.0
1569813108182,31713.0
1569813108191,31701.0
1569813108201,31699.0
1569813108212,31698.0
1569813108222,31692.0
1569813108232,31698.0
1569813108242,31683.0
1569813108253,31684.0
1569813108266,31687.0
1569813108272,31685.0
1569813108280,31684.0
1569813108290,31675.0
1569813108300,31700.0
1569813108311,31703.0
1569813108321,31701.0
1569813108331,31704.0
1569813108340,31704.0
1569813108350,31706.0
1569813108360,31695.0
1569813108370,31710.0
1569813108380,31702.0
1569813108392,31712.0
1569813108402,31709.0
1569813108412,31707.0
1569813108421,31714.0
1569813108431,31704.0
1569813108441,31699.0
1569813108451,31704.0
1569813108460,31708.0
1569813108470,31711.0
1569813108481,31712.0
1569813108491,31702.0
1569813108501,31712.0
1569813108511,31715.0
1569813108521,31719.0
1569813108531,31717.0
1569813108541,31724.0
1569813108551,31722.0
1569813108561,31723.0
1569813108571,31727.0
1569813108581,31729.0
1569813108591,31731.0
1569813108601,31742.0
1569813108611,31736.0
1569813108621,31734.0
1569813108631,31739.0
1569813108641,31739.0
1569813108651,31749.0
1569813108660,31754.0
1569813108671,31760.0
1569813108680,31767.0
1569813108691,31769.0
1569813108700,31775.0
1569813108710,31762.0
1569813108720,31763.0
1569813108730,31743.0
1569813108740,31728.0
1569813108751,31731.0
1569813108761,31720.0
1569813108771,31705.0
1569813108780,31696.0
1569813108791,31693.0
1569813108801,31688.0
1569813108811,31673.0
1569813108821,31680.0
1569813108831,31673.0
1569813108841,31664.0
1569813108850,31665.0
1569813108861,31663.0
1569813108871,31656.0
1569813108881,31665.0
1569813108891,31661.0
1569813108901,31671.0
1569813108911,31670.0
1569813108921,31677.0
1569813108931,31685.0
1569813108941,31683.0
1569813108951,31694.0
1569813108961,31691.0
1569813108972,31699.0
1569813108981,31705.0
1569813108990,31712.0
1569813109000,31707.0
1569813109011,31719.0
1569813109020,31715.0
1569813109030,31724.0
1569813109040,31733.0
1569813109050,31733.0
1569813109060,31736.0
1569813109071,31741.0
1569813109081,31747.0
1569813109090,31755.0
1569813109100,31752.0
1569813109110,31768.0
1569813109120,31778.0
1569813109130,31779.0
1569813109140,31782.0
1569813109151,31786.0
1569813109161,31791.0
1569813109171,31800.0
1569813109180,31810.0
1569813109190,31817.0
1569813109199,31821.0
1569813109209,31830.0
1569813109220,31834.0
1569813109231,31835.0
1569813109241,31858.0
1569813109251,31864.0
1569813109260,31865.0
1569813109270,31873.0
1569813109280,31890.0
1569813109291,31888.0
1569813109300,31896.0
1569813109308,31896.0
1569813109318,31894.0
1569813109328,31909.0
1569813109338,31895.0
1569813109348,31887.0
1569813109359,31880.0
1569813109371,31876.0
1569813109380,31853.0
1569813109390,31852.0
1569813109400,31841.0
1569813109411,31841.0
1569813109420,31833.0
1569813109430,31830.0
1569813109440,31835.0
1569813109450,31836.0
1569813109460,31828.0
1569813109470,31828.0
1569813109480,31832.0
1569813109490,31834.0
1569813109500,31837.0
1569813109511,31839.0
1569813109520,31833.0
1569813109531,31842.0
1569813109539,31849.0
1569813109549,31857.0
1569813109559,31851.0
1569813109571,31866.0
1569813109580,31865.0
1569813109590,31866.0
1569813109600,31862.0
1569813109610,31867.0
1569813109620,31875.0
1569813109630,31873.0
1569813109640,31873.0
1569813109650,31874.0
1569813109660,31883.0
1569813109670,31892.0
1569813109680,31893.0
1569813109690,31898.0
1569813109702,31899.0
1569813109712,31897.0
1569813109718,31912.0
1569813109728,31914.0
1569813109738,31920.0
1569813109748,31923.0
1569813109758,31945.0
1569813109771,31940.0
1569813109779,31945.0
1569813109790,31948.0
1569813109799,31956.0
1569813109809,31970.0
1569813109819,31979.0
1569813109829,31974.0
1569813109839,31994.0
1569813109851,31999.0
1569813109859,32003.0
1569813109870,32000.0
1569813109880,32006.0
1569813109891,32023.0
1569813109900,32030.0
1569813109910,32036.0
1569813109919,32057.0
1569813109930,32072.0
1569813109940,32071.0
1569813109951,32076.0
1569813109960,32078.0
1569813109970,32070.0
1569813109980,32063.0
1569813109990,32057.0
1569813110000,32041.0
1569813110010,32037.0
1569813110020,32015.0
1569813110030,32009.0
1569813110040,31999.0
1569813110050,32003.0
1569813110060,32007.0
1569813110071,32009.0
1569813110079,32010.0
1569813110089,32012.0
1569813110099,32012.0
1569813110111,32012.0
1569813110120,32011.0
1569813110130,32017.0
1569813110140,32023.0
1569813110150,32022.0
1569813110159,32011.0
1569813110169,32023.0
1569813110179,32029.0
1569813110189,32035.0
1569813110199,32041.0
1569813110209,32044.0
1569813110219,32052.0
1569813110230,32057.0
1569813110241,32051.0
1569813110252,32048.0
1569813110257,32053.0
1569813110267,32053.0
1569813110277,32049.0
1569813110287,32048.0
1569813110300,32043.0
1569813110312,32048.0
1569813110319,32068.0
1569813110329,32066.0
1569813110337,32055.0
1569813110347,32051.0
1569813110357,32056.0
1569813110367,32063.0
1569813110379,32054.0
1569813110388,32069.0
1569813110401,32079.0
1569813110413,32077.0
1569813110421,32078.0
1569813110433,32073.0
1569813110437,32078.0
1569813110447,32079.0
1569813110457,32103.0
1569813110466,32103.0
1569813110476,32095.0
1569813110486,32098.0
1569813110497,32100.0
1569813110506,32118.0
1569813110516,32115.0
1569813110526,32109.0
1569813110536,32112.0
1569813110546,32107.0
1569813110556,32124.0
1569813110566,32112.0
1569813110576,32124.0
1569813110588,32129.0
1569813110596,32128.0
1569813110606,32117.0
1569813110616,32106.0
1569813110626,32094.0
1569813110636,32086.0
1569813110646,32083.0
1569813110656,32074.0
1569813110666,32055.0
1569813110676,32048.0
1569813110686,32043.0
1569813110700,32044.0
1569813110709,32047.0
1569813110718,32047.0
1569813110727,32038.0
1569813110737,32046.0
1569813110747,32053.0
1569813110759,32053.0
1569813110768,32058.0
1569813110778,32048.0
1569813110787,32054.0
1569813110796,32064.0
1569813110806,32055.0
1569813110816,32061.0
1569813110826,32077.0
1569813110837,32066.0
1569813110846,32064.0
1569813110856,32065.0
1569813110866,32067.0
1569813110878,32066.0
1569813110890,32072.0
1569813110896,32080.0
1569813110906,32071.0
1569813110916,32074.0
1569813110926,32068.0
1569813110936,32068.0
1569813110946,32073.0
1569813110959,32064.0
1569813110969,32061.0
1569813110979,32062.0
1569813110989,32060.0
1569813110999,32069.0
1569813111010,32076.0
1569813111020,32082.0
1569813111030,32092.0
1569813111039,32092.0
1569813111049,32088.0
1569813111059,32087.0
1569813111069,32090.0
1569813111079,32102.0
1569813111090,32099.0
1569813111099,32107.0
1569813111109,32101.0
1569813111120,32105.0
1569813111130,32099.0
1569813111143,32101.0
1569813111152,32112.0
1569813111156,32106.0
1569813111166,32115.0
1569813111175,32117.0
1569813111186,32129.0
1569813111195,32124.0
1569813111205,32122.0
1569813111220,32121.0
1569813111232,32125.0
1569813111237,32119.0
1569813111247,32119.0
1569813111256,32112.0
1569813111267,32106.0
1569813111276,32080.0
1569813111286,32071.0
1569813111299,32065.0
1569813111312,32060.0
1569813111317,32054.0
1569813111326,32038.0
1569813111335,32023.0
1569813111346,32039.0
1569813111355,32041.0
1569813111365,32030.0
1569813111379,32037.0
1569813111388,32031.0
1569813111396,32037.0
1569813111406,32041.0
1569813111416,32036.0
1569813111426,32037.0
1569813111438,32044.0
1569813111448,32046.0
1569813111458,32046.0
1569813111468,32054.0
1569813111478,32052.0
1569813111488,32057.0
1569813111502,32053.0
1569813111509,32060.0
1569813111516,32063.0
1569813111526,32058.0
1569813111536,32049.0
1569813111546,32058.0
1569813111557,32052.0
1569813111568,32052.0
1569813111578,32058.0
1569813111588,32060.0
1569813111598,32066.0
1569813111608,32062.0
1569813111618,32057.0
1569813111628,32067.0
1569813111638,32061.0
1569813111648,32066.0
1569813111658,32074.0
1569813111668,32071.0
1569813111681,32066.0
1569813111688,32068.0
1569813111698,32079.0
1569813111708,32076.0
1569813111718,32071.0
1569813111728,32068.0
1569813111738,32075.0
1569813111748,32076.0
1569813111758,32083.0
1569813111768,32070.0
1569813111778,32072.0
1569813111788,32078.0
1569813111798,32076.0
1569813111809,32077.0
1569813111818,32075.0
1569813111828,32084.0
1569813111838,32096.0
1569813111848,32090.0
1569813111857,32091.0
1569813111866,32090.0
1569813111876,32106.0
1569813111886,32099.0
1569813111895,32082.0
1569813111906,32063.0
1569813111919,32065.0
1569813111928,32051.0
1569813111938,32040.0
1569813111948,32022.0
1569813111956,32011.0
1569813111966,32005.0
1569813111976,32003.0
1569813111986,31997.0
1569813111996,31996.0
1569813112006,32001.0
1569813112015,31998.0
1569813112024,32000.0
1569813112034,31989.0
1569813112045,31993.0
1569813112054,31989.0
1569813112064,31995.0
1569813112074,32002.0
1569813112084,31997.0
1569813112094,32008.0
1569813112104,31991.0
1569813112114,31998.0
1569813112128,32005.0
1569813112138,32002.0
1569813112144,32002.0
1569813112154,32007.0
1569813112164,32002.0
1569813112174,32006.0
1569813112184,32006.0
1569813112194,32001.0
1569813112207,32001.0
1569813112220,31992.0
1569813112227,31994.0
1569813112235,31994.0
1569813112245,32007.0
1569813112255,31995.0
1569813112265,32004.0
1569813112276,32000.0
1569813112287,31995.0
1569813112297,32011.0
1569813112312,32006.0
1569813112318,32013.0
1569813112329,32008.0
1569813112337,32006.0
1569813112344,32010.0
1569813112354,32005.0
1569813112364,32013.0
1569813112374,32012.0
1569813112384,32013.0
1569813112394,32020.0
1569813112408,32022.0
1569813112417,32031.0
1569813112425,32028.0
1569813112435,32026.0
1569813112445,32023.0
1569813112455,32032.0
1569813112465,32028.0
1569813112475,32035.0
1569813112485,32037.0
1569813112497,32036.0
1569813112507,32045.0
1569813112518,32046.0
1569813112529,32043.0
1569813112536,32055.0
1569813112545,32047.0
1569813112555,32035.0
1569813112565,32032.0
1569813112576,32016.0
1569813112585,32014.0
1569813112595,31995.0
1569813112605,31987.0
1569813112615,31982.0
1569813112625,31976.0
1569813112635,31966.0
1569813112645,31957.0
1569813112657,31957.0
1569813112667,31954.0
1569813112678,31951.0
1569813112687,31962.0
1569813112697,31958.0
1569813112707,31957.0
1569813112717,31960.0
1569813112727,31951.0
1569813112736,31950.0
1569813112747,31952.0
1569813112757,31960.0
1569813112766,31947.0
1569813112774,31950.0
1569813112783,31961.0
1569813112793,31958.0
1569813112803,31959.0
1569813112814,31966.0
1569813112826,31971.0
1569813112835,31962.0
1569813112844,31952.0
1569813112854,31956.0
1569813112864,31950.0
1569813112875,31950.0
1569813112886,31952.0
1569813112896,31947.0
1569813112906,31948.0
1569813112916,31951.0
1569813112926,31957.0
1569813112939,31957.0
1569813112946,31970.0
1569813112954,31952.0
1569813112964,31951.0
1569813112974,31953.0
1569813112984,31959.0
1569813112995,31958.0
1569813113006,31975.0
1569813113016,31966.0
1569813113026,31956.0
1569813113036,31977.0
1569813113046,31978.0
1569813113055,31979.0
1569813113065,31985.0
1569813113076,31989.0
1569813113086,31987.0
1569813113096,31987.0
1569813113106,31989.0
1569813113120,31999.0
1569813113126,31992.0
1569813113134,31998.0
1569813113144,31996.0
1569813113154,31998.0
1569813113164,32000.0
1569813113174,32001.0
1569813113186,32005.0
1569813113196,31993.0
1569813113206,32002.0
1569813113216,31991.0
1569813113226,31987.0
1569813113236,31980.0
